year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1957,istanbul,979044.0,616474.0,63.0,,,,,,,,,249097.0,,,,315967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,39.0,,,,,25779.0,,,15325.0,,,,130.0,
1954,istanbul,685091.0,545867.0,79.7,,,,,,,,,143705.0,,,,338010.0,,,,,,,,,,,,,,,,,,,,4215.0,,,,,,,,,,,,,,,,,,,,,,10076.0,,29.0,,,,,43420.0,,,,,,,,
1950,istanbul,559798.0,453262.0,81.0,,,,,,,,,110299.0,,,,238763.0,,,,,,,,,,,,,,,,,,,,,,,,,,72737.0,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,
2018,kocaeli,1334402.0,1198849.0,89.8,1175662.0,585313.0,,,,,,,243828.0,,,,,,,,,,,,,,,89162.0,,,,1889.0,,,,125118.0,,,,,,137708.0,,,,,26436.0,,,,,,2111.0,,,,,,500.0,,,,,,,,,,,,,,,
1 Kasım 2015,kocaeli,1240533.0,1115212.0,89.9,1099780.0,638266.0,,,,6426.0,,1146.0,262793.0,,,,1556.0,739.0,,433.0,,,,,2404.0,,,66247.0,,1653.0,,,,,,,1249.0,649.0,,,,125827.0,456.0,,,,18079.0,,,,,,2213.0,,,,,,0.0,,,,,,,,,,,,,,,
7 Haziran 2015,kocaeli,1221771.0,1076123.0,88.1,1052761.0,499906.0,703.0,,,,,2479.0,260865.0,,,,1826.0,2232.0,,893.0,,,,,37.0,14.0,,82493.0,,1388.0,,,,,,,379.0,658.0,,,436.0,163742.0,348.0,,,,52631.0,,,,,2441.0,2988.0,,,,,289.0,313.0,,,,,,,,,,,,,,,
2011,kocaeli,1096593.0,977711.0,89.2,954174.0,504535.0,,,,5615.0,,,235770.0,,,,5995.0,2414.0,,1859.0,0.0,,,,,,14939.0,,3796.0,,,,,,,,,0.0,,,,114304.0,1716.0,759.0,,,41870.0,,,,1452.0,,,,,,,,22153.0,,,,,,,,,,,,,,,
2007,kocaeli,884889.0,768187.0,86.8,746573.0,370242.0,,,,,,4369.0,145671.0,,,,40081.0,,,,,,24951.0,,,,,,,,,,3546.0,,2380.0,,,734.0,,,,78585.0,,,1273.0,,62406.0,,,,1998.0,,,,,,,,15447.0,,,,,,,,,,,,,,,
2002,kocaeli,752556.0,673467.0,89.5,645035.0,277461.0,,22671.0,,4914.0,,3893.0,120719.0,,25500.0,,,6786.0,,40370.0,,,43250.0,,,,,,,,,,,,2678.0,,,1604.0,,,,39146.0,1056.0,,2056.0,,39961.0,,,,1147.0,,,,,,5823.0,8130.0,279.0,,,,,,,,,,,,,,,
1999,kocaeli,749026.0,656898.0,87.7,624684.0,,,67512.0,,7677.0,1465.0,,62832.0,,,531.0,2241.0,143352.0,1724.0,72547.0,1124.0,142391.0,,19295.0,,,,,,,,,,,779.0,,,2485.0,,,,92409.0,1648.0,,4301.0,,,,770.0,,,,,,751.0,,,,236.0,,,,,,,,,,,,,,,
