city,year,registered_voters,turnout,valid_vote,saadet partisi,btp,tkp,vatan partisi,chp,ak parti,dp,mhp,iyi parti,hdp,dsp,bgmz,anap,ldp,dtp,ip,hakpar,bbp,bdp,millet partisi,odp,emep,hyp,dyp,rp,sbp,shp,ydp,bagimsizlar,baskanlik sayisi,atp,genc parti,ytp,huda par,a.p.,turk parti,hkp,myp,yurtp,hepar,bp,dbp,dehap,depar,fp,hadep,sip,BAĞIMSIZLAR_vote,bagimsizlar_percent,percent_turnout,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent,prev_year,winner,prev_winner,swing,election_type,anadolu partisi,hap,has parti,hp,idp,kp,mcp,mdp,mep,mmp,sp,ydh,yeni parti,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp ,event,event_bool,cyprus,earthquake,kurdish,refugee
kocaeli,2009,1025094.0,891735.0,857940.0,73952.0,1106.0,1471.0,,272389.0,407170.0,18354.0,55515.0,,,5641.0,0.0,0.0,,14308.0,0.0,0.0,8034.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699055891459709,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
konya,2009,643648.0,537776.0,521199.0,77240.0,1923.0,447.0,,16687.0,356570.0,1664.0,56796.0,,,4043.0,0.0,0.0,191.0,4560.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8355125783036691,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
sakarya,2009,417592.0,362515.0,351875.0,25337.0,873.0,392.0,,26961.0,157626.0,5608.0,129313.0,,,1378.0,349.0,1213.0,239.0,0.0,0.0,0.0,2586.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8681081055192629,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
samsun,2009,376980.0,313710.0,299805.0,11692.0,894.0,743.0,,63548.0,144174.0,9645.0,61703.0,,,6801.0,248.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8321661626611492,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
adana,1994,10904360.0,9739574.0,9143354.0,,,,,267604.0,,7100.0,413811.0,,,1026674.0,,1992281.0,,,16592.0,,35057.0,,31888.0,,,,1451809.0,2048519.0,17297.0,1799059.0,21979.0,13684.0,,,,,,,,,,,,,,,,,,,,,0.8931816264319961,,,,,,,,,,,,,,,1989.0,rp,shp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ankara,1994,1670867.0,1525392.0,1439838.0,,,,,30082.0,,,104304.0,,,111740.0,,268519.0,,,3023.0,,8649.0,,5727.0,,,,119824.0,393623.0,3413.0,387152.0,2756.0,1026.0,,,,,,,,,,,,,,,,,,,,,0.9129344226679921,,,,,,,,,,,,,,,1989.0,rp,shp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
antalya,1994,260054.0,230050.0,214775.0,,,,,22164.0,,,20717.0,,,18351.0,,40895.0,,,601.0,,641.0,,796.0,,,,71325.0,19442.0,840.0,18382.0,621.0,,,,,,,,,,,,,,,,,,,,,,0.884623962715436,,,,,,,,,,,,,,,1989.0,dyp,,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
bursa,1994,590162.0,554609.0,518917.0,,,,,5130.0,,1534.0,16160.0,,,94228.0,,144309.0,,,955.0,,1409.0,,2184.0,,,,122200.0,96113.0,776.0,32313.0,1305.0,301.0,,,,,,,,,,,,,,,,,,,,,0.9397572192042184,,,,,,,,,,,,,,,1989.0,anap,dyp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
diyarbakir,1994,169466.0,119754.0,86302.0,,,,,1846.0,,,3755.0,,,,,18826.0,,,548.0,,672.0,,,,,,13691.0,31865.0,,12588.0,674.0,1837.0,,,,,,,,,,,,,,,,,,,,,0.7066550222463504,,,,,,,,,,,,,,,1989.0,rp,,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
erzurum,1994,133846.0,119082.0,111942.0,,,,,575.0,,486.0,28370.0,,,1516.0,,23775.0,,,212.0,,1978.0,,593.0,,,,9643.0,41965.0,,1838.0,991.0,,,,,,,,,,,,,,,,,,,,,,0.8896941260852024,,,,,,,,,,,,,,,1989.0,rp,,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
